Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
KDSB,BT-UNet,10,ensemble,,val folder,model_KDSB_BT-UNet_10pct_ensemble.keras,0.734074,0.35818228,0.9495926,0.52039415,0.5374616,9.571056643435574,0.05066799340062763,0.26592597,0.69749576,0.3861926,0.9554129,0.5041153,0.5556239,10.078099945391358,0.05467021907258789,0.30250424,0.71870285,0.3940265,0.95435536,0.52239,0.57039917,9.560121791112701,0.0682371928078554,0.28129715
KDSB,BT-UNet,10,fold,0.0,val folder,model_KDSB_BT-UNet_10pct_fold0.keras,0.7428333,0.37362617,0.83949775,0.5252424,0.48052755,10.292319511404852,0.028462219791594974,0.25716668,0.74278635,0.40736014,0.72351587,0.526698,0.4557456,10.297094719116252,0.027728316445444805,0.25721365,0.79411566,0.46668172,0.75381386,0.58276385,0.48611766,9.729992681194704,0.023116295944386984,0.20588437
KDSB,BT-UNet,10,fold,1.0,val folder,model_KDSB_BT-UNet_10pct_fold1.keras,0.72437304,0.3322037,0.94924164,0.5041454,0.516829,9.797125561016397,0.03317330405640962,0.27562696,0.6924734,0.38065067,0.93936,0.49783367,0.54817104,9.98940067408605,0.04203970204755355,0.30752662,0.72608274,0.39841035,0.9287616,0.52776206,0.5625706,9.437150922378319,0.051446358448338336,0.27391726
KDSB,BT-UNet,10,fold,2.0,val folder,model_KDSB_BT-UNet_10pct_fold2.keras,0.77425104,0.39332002,0.8757681,0.55592275,0.59174395,8.970733853278633,0.07266096398175143,0.22574894,0.7365247,0.41676992,0.9049254,0.53993624,0.61199784,9.379546710897227,0.07071612183862286,0.26347533,0.75034654,0.41944534,0.893277,0.55003494,0.6291684,8.840135104622163,0.09346597028847572,0.24965344
KDSB,BT-UNet,10,fold,3.0,val folder,model_KDSB_BT-UNet_10pct_fold3.keras,0.75504434,0.37518048,0.930919,0.53995824,0.5534351,9.351137401146072,0.06863742659314859,0.24495567,0.7171463,0.39985847,0.921498,0.5212208,0.5795828,9.39952042026256,0.07934244663833837,0.2828537,0.75195396,0.42172098,0.9009388,0.5525461,0.58954716,8.72306215271637,0.0876348351642076,0.24804606
KDSB,BT-UNet,10,fold,4.0,val folder,model_KDSB_BT-UNet_10pct_fold4.keras,0.74941945,0.3692111,0.9431555,0.534617,0.5439591,9.339791475870905,0.031848035227185614,0.25058058,0.69550574,0.3847163,0.95673037,0.5022268,0.5445768,10.121660753537121,0.02800051757899568,0.30449426,0.69860125,0.37729457,0.9554825,0.5021444,0.5392081,9.946172431191242,0.032976353515212345,0.30139875
KDSB,BT-UNet,20,ensemble,,val folder,model_KDSB_BT-UNet_20pct_ensemble.keras,0.8364986,0.45827416,0.89685625,0.6241235,0.5728978,8.666282117757605,0.042981889051575774,0.16350137,0.8060447,0.49933612,0.8302481,0.6109971,0.5832433,8.953079503245144,0.05931457843278854,0.1939553,0.8197518,0.5094135,0.8194139,0.62268054,0.58764774,8.64579579720268,0.07153621346613057,0.18024823
KDSB,BT-UNet,20,fold,0.0,val folder,model_KDSB_BT-UNet_20pct_fold0.keras,0.80966824,0.3987509,0.9260042,0.585091,0.6053371,8.242996944333658,0.057813137876517116,0.19033173,0.73631257,0.4183137,0.9282493,0.54189086,0.6075536,9.362733780850473,0.06242955787082043,0.2636874,0.7372206,0.4088471,0.9278379,0.5393514,0.60847163,9.128290800219753,0.07908660550459663,0.26277944
KDSB,BT-UNet,20,fold,1.0,val folder,model_KDSB_BT-UNet_20pct_fold1.keras,0.7932884,0.39346507,0.8903718,0.56963205,0.5017274,9.493687338589616,0.022856741467112786,0.20671158,0.7667276,0.43753725,0.7192747,0.551362,0.49087507,9.67933436191165,0.038568901715820045,0.23327234,0.7943899,0.46690997,0.7489757,0.58243334,0.51070935,9.316864334280003,0.04545575825771584,0.20561013
KDSB,BT-UNet,20,fold,2.0,val folder,model_KDSB_BT-UNet_20pct_fold2.keras,0.8159846,0.4205104,0.9132407,0.59703624,0.56778544,8.688528826010675,0.046866174899351486,0.18401541,0.7719918,0.45298317,0.85826975,0.5740166,0.5808463,9.045456380888552,0.054182209219055276,0.2280082,0.7953286,0.4715249,0.8371484,0.59475946,0.59417516,8.615164754852916,0.07327804357479613,0.20467137
KDSB,BT-UNet,20,fold,3.0,val folder,model_KDSB_BT-UNet_20pct_fold3.keras,0.82845736,0.47270292,0.86709183,0.6212024,0.56035864,8.87979852355971,0.044160222795358015,0.17154266,0.81777745,0.5196956,0.7707191,0.6179702,0.55678946,9.177468423409033,0.06288154797085248,0.18222255,0.83812237,0.5457601,0.76995397,0.640165,0.56308407,8.364188931857383,0.06812705055524794,0.1618776
KDSB,BT-UNet,20,fold,4.0,val folder,model_KDSB_BT-UNet_20pct_fold4.keras,0.90136456,0.60314316,0.8777864,0.7219278,0.66691065,7.443402982262962,0.10205060020264488,0.09863542,0.8806624,0.65853626,0.7962055,0.7112354,0.66257375,7.975514648658486,0.10738866976341188,0.1193376,0.8747385,0.6268222,0.80589634,0.69863534,0.635511,7.842261690853064,0.09646967996276723,0.12526146
KDSB,BT-UNet,50,ensemble,,val folder,model_KDSB_BT-UNet_50pct_ensemble.keras,0.92350954,0.6777874,0.9776391,0.788539,0.7691125,6.400866547874084,0.20332509244460378,0.07649047,0.92014813,0.7151606,0.97619444,0.8022253,0.7919103,6.703477141763457,0.20076458332897715,0.07985188,0.9114156,0.6833403,0.9754475,0.7817912,0.77798766,6.552446497714914,0.21964411814895782,0.088584416
KDSB,BT-UNet,50,fold,0.0,val folder,model_KDSB_BT-UNet_50pct_fold0.keras,0.9639778,0.84422535,0.945422,0.88133943,0.8602601,5.019185543174952,0.3871376341665718,0.036022205,0.9593524,0.86144555,0.9413756,0.8839412,0.8732678,5.265046815619878,0.3936677229321698,0.04064761,0.95379543,0.8348936,0.93665487,0.8671638,0.85705143,5.305872357152725,0.37999346638919845,0.046204574
KDSB,BT-UNet,50,fold,1.0,val folder,model_KDSB_BT-UNet_50pct_fold1.keras,0.72236663,0.3488301,0.97282463,0.51008123,0.5214479,9.713694024841427,0.03132321486485073,0.27763337,0.69788736,0.38821775,0.9743093,0.50598454,0.5532015,10.110449370586556,0.04419829956165985,0.30211264,0.71011835,0.3883359,0.97294635,0.51515347,0.5553646,9.689485027408704,0.04790201361601866,0.28988168
KDSB,BT-UNet,50,fold,2.0,val folder,model_KDSB_BT-UNet_50pct_fold2.keras,0.96091074,0.82517546,0.96135193,0.8762084,0.8495993,5.121919331538193,0.3758377203388198,0.03908924,0.9570067,0.8452386,0.9521882,0.87906015,0.86363083,5.343752442640447,0.37243362565288535,0.042993303,0.9507001,0.81505173,0.9504424,0.8609736,0.84751,5.414284950664225,0.3653881148374488,0.04929991
KDSB,BT-UNet,50,fold,3.0,val folder,model_KDSB_BT-UNet_50pct_fold3.keras,0.7354309,0.3679009,0.9620936,0.5255952,0.55548084,9.536574270961443,0.0475034755199469,0.2645691,0.6998409,0.38840613,0.95886064,0.5067451,0.56824756,10.067232189215883,0.06569815217563935,0.3001591,0.72233665,0.39768058,0.9596136,0.526596,0.58927476,9.413341317335357,0.07770739781245736,0.27766335
KDSB,BT-UNet,50,fold,4.0,val folder,model_KDSB_BT-UNet_50pct_fold4.keras,0.9607618,0.8349489,0.939592,0.8731306,0.8423593,5.207089006608786,0.327051726996775,0.0392382,0.9533837,0.8460979,0.9279067,0.8685444,0.8523079,5.556681182211801,0.33246623569094813,0.046616293,0.94812685,0.8224217,0.91945875,0.85229445,0.83182484,5.593463134601868,0.3038812654902518,0.051873147
KDSB,BT-UNet,5,ensemble,,val folder,model_KDSB_BT-UNet_5pct_ensemble.keras,0.6664325,0.30129603,0.9486289,0.45416874,0.46046838,10.84607553672076,0.051397079965990876,0.3335675,0.6836903,0.37327144,0.9343505,0.4888004,0.5271534,10.134050723818524,0.04776740934047137,0.3163097,0.72865367,0.400118,0.92098594,0.529723,0.5428549,9.499798739796436,0.05350656471915555,0.27134636
KDSB,BT-UNet,5,fold,0.0,val folder,model_KDSB_BT-UNet_5pct_fold0.keras,0.74976575,0.33155608,0.8262162,0.51401055,0.40711156,10.746043846309643,0.013359192383779616,0.25023422,0.744654,0.41061687,0.7337055,0.52987784,0.4248566,10.323885113633041,0.01430735574338435,0.255346,0.76715076,0.4288964,0.76215386,0.553493,0.4301786,9.864371231879348,0.010270597377267527,0.23284926
KDSB,BT-UNet,5,fold,1.0,val folder,model_KDSB_BT-UNet_5pct_fold1.keras,0.7189392,0.33382264,0.9112917,0.4993286,0.5852769,9.58385832664111,0.09120586297008686,0.28106079,0.75863886,0.44136658,0.9302699,0.5664387,0.6543201,8.89082173928712,0.09459779702174194,0.24136117,0.75953645,0.43133208,0.92232525,0.56299734,0.6551334,8.60755310676276,0.1147970204321254,0.24046353
KDSB,BT-UNet,5,fold,2.0,val folder,model_KDSB_BT-UNet_5pct_fold2.keras,0.62112045,0.29682297,0.98076254,0.42239928,0.45094126,11.248470481762757,0.04162931847859917,0.37887955,0.6507438,0.35407043,0.9762016,0.46021634,0.5047505,10.70813880862684,0.03515975647488377,0.34925622,0.6975671,0.3772589,0.9636649,0.5017705,0.5117193,10.181992217709102,0.029818464549518996,0.30243292
KDSB,BT-UNet,5,fold,3.0,val folder,model_KDSB_BT-UNet_5pct_fold3.keras,0.81655276,0.4431551,0.793056,0.5942737,0.49159604,9.701667800859473,0.0759728136407273,0.18344727,0.80038273,0.48957688,0.73894304,0.59222925,0.5103844,9.254621504947261,0.05905427383503964,0.19961728,0.8269149,0.5235425,0.76522446,0.6246497,0.53232324,8.771605186704049,0.06940829926914736,0.17308512
KDSB,BT-UNet,5,fold,4.0,val folder,model_KDSB_BT-UNet_5pct_fold4.keras,0.5321228,0.23147091,0.97626454,0.34309965,0.4017609,12.453544229929893,0.027584899906881327,0.4678772,0.6602199,0.3579786,0.95242614,0.46756446,0.51869524,10.716859226745896,0.047583224711134985,0.3397801,0.69533396,0.375126,0.9598954,0.49925336,0.5390257,10.098206499599577,0.05234562402541802,0.30466604
KDSB,SimSiam,10,ensemble,,val folder,model_KDSB_SimSiam-UNET_10pct_ensemble.keras,0.8796632,0.6272405,0.51071304,0.6306747,0.55098134,8.250896470345362,0.11035498035816697,0.12033679,0.86069643,0.67332625,0.5442301,0.63742256,0.5554511,8.455590766518391,0.09931096783344914,0.1393036,0.84927905,0.6475615,0.41500735,0.58761084,0.4948823,8.66445539020413,0.10702111097334628,0.15072095
KDSB,SimSiam,10,fold,0.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold0.keras,0.8723408,0.68120605,0.4166905,0.6058347,0.49936715,8.252024304004493,0.09774270986436566,0.12765923,0.8664671,0.74903756,0.46620974,0.62822473,0.53439826,8.301021658348565,0.1027223213019205,0.13353285,0.85411114,0.72661734,0.34489825,0.5747005,0.45808613,8.356342719495592,0.0885887882985001,0.14588886
KDSB,SimSiam,10,fold,1.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold1.keras,0.8733446,0.54809093,0.56893504,0.6247962,0.54376507,8.274775690688518,0.06750723699625231,0.1266554,0.855762,0.65431523,0.5399624,0.6295232,0.54451144,8.58602103294253,0.06095364786231501,0.14423801,0.8555679,0.6601065,0.45964542,0.60687685,0.51658136,8.54817671775909,0.06366927740106307,0.14443214
